INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10200010	1	2	0	10	0	111	1	-1	-1	魔刀残沧	100	100级标准，大刀类	2304	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_12
10201001	1	2	1	1	0	6	1	-1	-1	赤铁棒?	10	10级标准，长枪类	192	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_16
10201002	1	2	1	2	0	11	1	-1	-1	雁翎枪	20	20级标准，长枪类	240	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_1
10201003	1	2	1	3	0	16	1	-1	-1	丈八蛇矛	30	30级标准，长枪类	336	70	7	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5
10201004	1	2	1	4	0	21	1	-1	-1	方天画戟	40	40级标准，长枪类	432	70	7	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_5
10201005	1	2	1	5	0	26	1	-1	-1	罗汉伏魔杵	50	50级标准，长枪类	624	80	8	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_14
10201006	1	2	1	6	0	31	1	-1	-1	冥火战戟	60	60级标准，长枪类	816	80	8	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_10
10201007	1	2	1	7	0	36	1	-1	-1	神戟烈日	70	70级标准，长枪类	1056	90	9	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear4_3
10201008	1	2	1	8	0	41	1	-1	-1	上星玄棒	80	80级标准，长枪类	1344	90	9	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_4
10201009	1	2	1	9	0	46	1	-1	-1	破星之枪	90	90级标准，长枪类	1776	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_14
10201010	1	2	1	10	0	51	1	-1	-1	妖枪罗煞	100	100级标准，长枪类	2304	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear4_4
10202001	1	2	2	1	0	126	1	-1	-1	短剑	10	10级标准，单短类	192	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_15
10202002	1	2	2	2	0	131	1	-1	-1	青钢剑	20	20级标准，单短类	240	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_2
10202003	1	2	2	3	0	136	1	-1	-1	昆吾剑	30	30级标准，单短类	336	70	7	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_3
10202004	1	2	2	4	0	141	1	-1	-1	千月星痕	40	40级标准，单短类	432	70	7	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_6
10202005	1	2	2	5	0	146	1	-1	-1	冥蛇剑	50	50级标准，单短类	624	80	8	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword4_12
10202006	1	2	2	6	0	151	1	-1	-1	邪剑血魔	60	60级标准，单短类	816	80	8	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_7
10202007	1	2	2	7	0	156	1	-1	-1	皇龙剑	70	70级标准，单短类	1056	90	9	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_12
10202008	1	2	2	8	0	161	1	-1	-1	龙泉	80	80级标准，单短类	1344	90	9	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_1
10202009	1	2	2	9	0	166	1	-1	-1	鱼肠	90	90级标准，单短类	1776	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_9
10202010	1	2	2	10	0	171	1	-1	-1	神剑飞扬	100	100级标准，单短类	2304	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword4_9
10203001	1	2	3	1	0	306	1	-1	-1	鸳鸯刀	10	10级标准，双短类	192	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_6
10203002	1	2	3	2	0	311	1	-1	-1	两仪剑	20	20级标准，双短类	240	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_3
10203003	1	2	3	3	0	316	1	-1	-1	翡玉双剑	30	30级标准，双短类	336	70	7	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_5
10203004	1	2	3	4	0	321	1	-1	-1	子母剑	40	40级标准，双短类	432	70	7	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_1
10203005	1	2	3	5	0	326	1	-1	-1	君子剑	50	50级标准，双短类	624	80	8	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_8
10203006	1	2	3	6	0	331	1	-1	-1	墨曜剑	60	60级标准，双短类	816	80	8	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_2
10203007	1	2	3	7	0	336	1	-1	-1	太虚剑	70	70级标准，双短类	1056	90	9	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_11
10203008	1	2	3	8	0	341	1	-1	-1	文殊剑	80	80级标准，双短类	1344	90	9	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_15
10203009	1	2	3	9	0	346	1	-1	-1	封雪剑	90	90级标准，双短类	1776	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands4_10
10203010	1	2	3	10	0	351	1	-1	-1	赤龙牙	100	100级标准，双短类	2304	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands4_9
10204001	1	2	4	1	0	246	1	-1	-1	檀香扇	10	10级标准，扇类	192	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_8
10204002	1	2	4	2	0	251	1	-1	-1	绢宫扇	20	20级标准，扇类	240	60	6	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_11
10204003	1	2	4	3	0	256	1	-1	-1	葵织扇	30	30级标准，扇类	336	70	7	0	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_13
10204004	1	2	4	4	0	261	1	-1	-1	策妖扇	40	40级标准，扇类	432	70	7	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan2_8
10204005	1	2	4	5	0	266	1	-1	-1	火鳞扇	50	50级标准，扇类	624	80	8	1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan2_15
10204006	1	2	4	6	0	271	1	-1	-1	释龙扇	60	60级标准，扇类	816	80	8	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan3_7
10204007	1	2	4	7	0	276	1	-1	-1	诛鬼扇	70	70级标准，扇类	1056	90	9	2	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan3_2
10204008	1	2	4	8	0	281	1	-1	-1	雪仙扇	80	80级标准，扇类	1344	90	9	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan3_10
10204009	1	2	4	9	0	286	1	-1	-1	魔翼	90	90级标准，扇类	1776	100	10	3	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	377000	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	1275000	630000	-1	-1	-1	-1	-1	-1	-1	1275000	-1	377000	25000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan4_5
