INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10100009	1	1	0	9	0	108	1	-1	-1	狂刀吞天	90	90级标准，大刀类	1776	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword4_11
10100010	1	1	0	10	0	113	1	-1	-1	魔刀残沧	100	100级标准，大刀类	2304	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_12
10101000	1	1	1	0	0	3	1	-1	-1	红缨枪	1	新手武器，长枪类	4	50	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_12
10101001	1	1	1	1	0	8	1	-1	-1	赤铁棒?	10	10级标准，长枪类	192	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_16
10101002	1	1	1	2	0	13	1	-1	-1	雁翎枪	20	20级标准，长枪类	240	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_1
10101003	1	1	1	3	0	18	1	-1	-1	丈八蛇矛	30	30级标准，长枪类	336	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5
10101004	1	1	1	4	0	23	1	-1	-1	方天画戟	40	40级标准，长枪类	432	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_5
10101005	1	1	1	5	0	28	1	-1	-1	罗汉伏魔杵	50	50级标准，长枪类	624	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_14
10101006	1	1	1	6	0	33	1	-1	-1	冥火战戟	60	60级标准，长枪类	816	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_10
10101007	1	1	1	7	0	38	1	-1	-1	神戟烈日	70	70级标准，长枪类	1056	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear4_3
10101008	1	1	1	8	0	43	1	-1	-1	上星玄棒	80	80级标准，长枪类	1344	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_4
10101009	1	1	1	9	0	48	1	-1	-1	破星之枪	90	90级标准，长枪类	1776	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_14
10101010	1	1	1	10	0	53	1	-1	-1	妖枪罗煞	100	100级标准，长枪类	2304	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear4_4
10102000	1	1	2	0	0	123	1	-1	-1	青铜剑	1	新手武器，单短类	4	50	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_2
10102001	1	1	2	1	0	128	1	-1	-1	短剑	10	10级标准，单短类	192	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_15
10102002	1	1	2	2	0	133	1	-1	-1	青钢剑	20	20级标准，单短类	240	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_2
10102003	1	1	2	3	0	138	1	-1	-1	昆吾剑	30	30级标准，单短类	336	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword2_3
10102004	1	1	2	4	0	143	1	-1	-1	千月星痕	40	40级标准，单短类	432	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_6
10102005	1	1	2	5	0	148	1	-1	-1	冥蛇剑	50	50级标准，单短类	624	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword4_12
10102006	1	1	2	6	0	153	1	-1	-1	邪剑血魔	60	60级标准，单短类	816	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_7
10102007	1	1	2	7	0	158	1	-1	-1	皇龙剑	70	70级标准，单短类	1056	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_12
10102008	1	1	2	8	0	163	1	-1	-1	龙泉	80	80级标准，单短类	1344	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword1_1
10102009	1	1	2	9	0	168	1	-1	-1	鱼肠	90	90级标准，单短类	1776	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword3_9
10102010	1	1	2	10	0	173	1	-1	-1	神剑飞扬	100	100级标准，单短类	2304	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	Sword4_9
10103000	1	1	3	0	0	303	1	-1	-1	雌雄剑	1	新手武器，双短类	4	50	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_9
10103001	1	1	3	1	0	308	1	-1	-1	鸳鸯刀	10	10级标准，双短类	192	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_6
10103002	1	1	3	2	0	313	1	-1	-1	两仪剑	20	20级标准，双短类	240	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_3
10103003	1	1	3	3	0	318	1	-1	-1	翡玉双剑	30	30级标准，双短类	336	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_5
10103004	1	1	3	4	0	323	1	-1	-1	子母剑	40	40级标准，双短类	432	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands1_1
10103005	1	1	3	5	0	328	1	-1	-1	君子剑	50	50级标准，双短类	624	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands2_8
10103006	1	1	3	6	0	333	1	-1	-1	墨曜剑	60	60级标准，双短类	816	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_2
10103007	1	1	3	7	0	338	1	-1	-1	太虚剑	70	70级标准，双短类	1056	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_11
10103008	1	1	3	8	0	343	1	-1	-1	文殊剑	80	80级标准，双短类	1344	90	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands3_15
10103009	1	1	3	9	0	348	1	-1	-1	封雪剑	90	90级标准，双短类	1776	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands4_10
10103010	1	1	3	10	0	353	1	-1	-1	赤龙牙	100	100级标准，双短类	2304	100	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	-1	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	BothHands4_9
10104000	1	1	4	0	0	243	1	-1	-1	鹅毛扇	1	新手武器，扇类	4	50	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_2
10104001	1	1	4	1	0	248	1	-1	-1	檀香扇	10	10级标准，扇类	192	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_8
10104002	1	1	4	2	0	253	1	-1	-1	绢宫扇	20	20级标准，扇类	240	60	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_11
10104003	1	1	4	3	0	258	1	-1	-1	葵织扇	30	30级标准，扇类	336	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan1_13
10104004	1	1	4	4	0	263	1	-1	-1	策妖扇	40	40级标准，扇类	432	70	7	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan2_8
10104005	1	1	4	5	0	268	1	-1	-1	火鳞扇	50	50级标准，扇类	624	80	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	Fan2_15
