INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
12	1	100000	20	10110006	1	-1	10110007	1	-1	10110008	1	-1	10110009	1	-1	10110010	1	-1	10111006	1	-1	10111007	1	-1	10111008	1	-1	10111009	1	-1	10111010	1	-1	10112006	1	-1	10112007	1	-1	10112008	1	-1	10112009	1	-1	10112010	1	-1	10113006	1	-1	10113007	1	-1	10113008	1	-1	10113009	1	-1	10113010	1	-1	30301001	1	-1	30301002	1	-1	30301003	1	-1	30301004	1	-1	30301005	1	-1	30301006	1	-1	30301007	1	-1	30301008	1	-1	30301013	1	-1	30301014	1	-1	30301015	1	-1	30301016	1	-1	30301021	1	-1	30301022	1	-1	30301023	1	-1	30301024	1	-1	30301029	1	-1	30301030	1	-1	30301031	1	-1	30301032	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
13	1	100000	6	10120002	1	-1	10120003	1	-1	10120004	1	-1	10121002	1	-1	10121003	1	-1	10121004	1	-1	10122102	1	-1	10122103	1	-1	10122104	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
14	1	100000	16	30001002	10	-1	30001003	10	-1	30002002	10	-1	30002003	10	-1	30003002	10	-1	30003003	10	-1	30004002	10	-1	30004007	10	-1	30004012	10	-1	30004017	10	-1	30004022	10	-1	30005002	10	-1	30005007	10	-1	30005011	10	-1	30005014	10	-1	30005017	10	-1	30303001	1	-1	30303002	1	-1	30303003	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	30303012	1	-1	30303013	1	-1	30303014	1	-1	30303015	1	-1	30303038	1	-1	30303043	1	-1	30303044	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
15	1	100000	9	30101002	20	-1	30101003	20	-1	30101014	20	-1	30101015	20	-1	30102002	20	-1	30102006	20	-1	30102010	20	-1	30102014	20	-1	30102018	20	-1	30304001	1	-1	30304002	1	-1	30304003	1	-1	30304004	1	-1	30304005	1	-1	30304010	1	-1	30304015	1	-1	30304020	1	-1	30304021	1	-1	30304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
16	1	100000	16	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301001	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
17	1	3600000	9	30602002	10	20	30602003	10	20	30603002	10	20	30603003	10	20	30604002	10	20	30604003	10	20	30605002	10	20	30605003	10	20	30601002	10	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
18	1	3600000	10	20101002	10	20	20005003	10	20	20005004	10	20	20005005	10	20	20005006	10	20	20103002	10	20	20103003	10	20	20104002	10	20	20104003	10	20	20105002	10	20	20105003	10	20	20304006	10	20	20304007	10	20	20107002	10	20	20107003	10	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
21	1	100000	6	10100004	1	-1	10101004	1	-1	10102004	1	-1	10103004	1	-1	10104004	1	-1	10105004	1	-1	30300001	1	-1	30300003	1	-1	30300005	1	-1	30300011	1	-1	30300013	1	-1	30300015	1	-1	30300021	1	-1	30300023	1	-1	30300025	1	-1	30300031	1	-1	30300033	1	-1	30300035	1	-1	30300041	1	-1	30300043	1	-1	30300045	1	-1	30300051	1	-1	30300053	1	-1	30300055	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
22	1	100000	12	10110009	1	-1	10110010	1	-1	10110011	1	-1	10111009	1	-1	10111010	1	-1	10111011	1	-1	10112009	1	-1	10112010	1	-1	10112011	1	-1	10113009	1	-1	10113010	1	-1	10113011	1	-1	30301001	1	-1	30301002	1	-1	30301003	1	-1	30301004	1	-1	30301005	1	-1	30301006	1	-1	30301007	1	-1	30301008	1	-1	30301013	1	-1	30301014	1	-1	30301015	1	-1	30301016	1	-1	30301021	1	-1	30301022	1	-1	30301023	1	-1	30301024	1	-1	30301029	1	-1	30301030	1	-1	30301031	1	-1	30301032	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
23	1	100000	3	10120004	1	-1	10121004	1	-1	10122004	1	-1	30302001	1	-1	30302002	1	-1	30302003	1	-1	30302004	1	-1	30302011	1	-1	30302012	1	-1	30302013	1	-1	30302014	1	-1	30302021	1	-1	30302022	1	-1	30302023	1	-1	30302024	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
24	1	100000	13	30001004	10	-1	30002004	10	-1	30003004	10	-1	30004002	10	-1	30004007	10	-1	30004012	10	-1	30004017	10	-1	30004022	10	-1	30005002	10	-1	30005007	10	-1	30005011	10	-1	30005014	10	-1	30005017	10	-1	30303001	1	-1	30303002	1	-1	30303003	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	30303012	1	-1	30303013	1	-1	30303014	1	-1	30303015	1	-1	30303038	1	-1	30303043	1	-1	30303044	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
25	1	100000	9	30101004	20	-1	30101016	20	-1	30102003	20	-1	30102007	20	-1	30102011	20	-1	30102015	20	-1	30102019	20	-1	20104004	20	-1	20106004	20	-1	30304001	1	-1	30304002	1	-1	30304003	1	-1	30304004	1	-1	30304005	1	-1	30304010	1	-1	30304015	1	-1	30304020	1	-1	30304021	1	-1	30304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
26	1	100000	16	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301001	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
