INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT
200050	陈寿庭	洛阳的	238	152	商会掌柜	1	1	1	1	1
200051	贾作珍	洛阳的	178	177	饰品商人	1	1	1	1	1
200052	瑞福祥	洛阳的	254	146	鞋帽店掌柜	1	1	1	1	1
200053	吴德昌	洛阳的	139	182	驿站老板	1	1	1	1	1
200054	田骁鸣	洛阳的	136	180	骑乘驯养师傅	1	1	1	1	1
200055	范统	洛阳的	138	140	酒店老板	1	1	1	1	1
200056	李大嘴	洛阳的	134	152	烹饪大师	1	1	1	1	1
200057	姜渔	洛阳的	207	184	渔夫	1	1	1	1	1
200058	姜鲤	洛阳的	0	0	渔夫	1	1	1	1	1
200059	郎夫人	洛阳的	63	147	珠宝商人	1	1	1	1	1
200060	符敏之	洛阳的	193	172	缝纫大师	1	1	1	1	1
200061	智清	洛阳的	79	52	白马寺住持	1	1	1	1	1
200062	业空	洛阳的	75	70		0	1	1	1	1
200063	业了	洛阳的	77	54		0	1	1	1	1
200064	盖一鸣	洛阳的	84	116		0	1	1	1	1
200065	贾镖师	洛阳的	0	0		0	1	1	1	1
200066	杨熙平	洛阳的	80	150		0	1	1	1	1
200067	诸葛孔亮	洛阳的	194	180	算命先生	1	1	1	1	1
200068	龙三少	洛阳的	60	146	工艺大师	1	1	1	1	1
200069	蔷薇	洛阳的	132	156	养生学大师	1	1	1	1	1
200070	张伯志	洛阳的	0	0	秦家寨密探	1	1	1	1	1
200071	韦铜锤	洛阳的	212	151	采矿大师	1	1	1	1	1
200072	何生财	洛阳的	95	152	当铺老板	1	1	1	1	1
200073	狄文远	洛阳的	83	184	战斗管理员	1	1	1	1	1
200074	王德贵	洛阳的	211	154	武器店老板	1	1	1	1	1
200075	王德富	洛阳的	213	160	铸造大师	1	1	1	1	1
200076	白颖明	洛阳的	136	168	药理学大师	1	1	1	1	1
200077	白萌升	洛阳的	135	164	济生堂大当家	1	1	1	1	1
200078	张明景	洛阳的	138	164	制药大师	1	1	1	1	1
200079	严百草	洛阳的	120	169	采药大师	1	1	1	1	1
200080	何灵芝	洛阳的	248	129	宫廷美发师	1	1	1	1	1
200081	燕如雪	洛阳的	250	130	宫廷染发师	1	1	1	1	1
200082	彭怀玉	洛阳的	177	184	宝石合成	1	1	1	1	1
200083	聂政	洛阳的	224	214	拜师	1	1	1	1	1
200084	陈夫之	洛阳的	144	68	结拜	1	1	1	1	1
200085	裴宣	洛阳的	174	33	镶嵌	1	1	1	1	1
200086	刘亦农	洛阳的	0	0	种植大师	1	1	1	1	1
200087	杨铮	洛阳的	234	69	水牢副本入口	1	1	1	1	1
200088	王积薪	洛阳的	271	88	棋局副本入口	1	1	1	1	1
200089	云渺渺	洛阳的	182	157	宠物	1	1	1	1	1
200090	林玉龙	洛阳的	0	0	武器店伙计	1	1	1	1	1
200091	陶得宝	洛阳的	0	0	装备店伙计	1	1	1	1	1
200092	董昌	洛阳的	0	0	饰品店伙计	1	1	1	1	1
200093	包世商	洛阳的	153	204	随机宝石商人	1	1	1	1	1
200094	云清清	洛阳的	172	141	随机宠物用品商人	1	1	1	1	1
200095	赛鲁班	洛阳的	107	147	随机高级打造图商店	1	1	1	1	1
200096	裘兴	洛阳的	129	98	端王府校蔚	1	1	1	1	1
200097	张浚	洛阳的	200	60	端王府侍从	1	1	1	1	1
200098	柳复生	洛阳的	200	57	端王府侍从	1	1	1	1	1
200099	周邦彦	洛阳的	245	96		0	1	1	1	1
200100	宝珠	洛阳的	253	110		0	1	1	1	1
200101	雷童	洛阳的	257	139		0	1	1	1	1
200102	云涵儿	洛阳的	183	154		0	1	1	1	1
200103	邱行洛	洛阳的	136	184	蹴鞠大赛联络使	1	1	1	1	1
200104	朱仝	洛阳的	63	131	西门校尉	1	1	1	1	1
300001	王安石	苏州的	267	116		0	0	0	1	1
300002	欧阳修	苏州的	87	80		0	0	0	1	1
300003	苏轼	苏州的	97	204		0	0	0	1	1
300004	陈季常	苏州的	131	230		0	0	0	1	1
300005	柳月虹	苏州的	130	230		0	0	0	1	1
300006	贺铸	苏州的	96	75		0	0	0	1	1
300007	曾巩	苏州的	88	76		0	0	0	1	1
300008	晁补之	苏州的	96	79		0	0	0	1	1
300009	张耒	苏州的	96	83		0	0	0	1	1
300010	孙山	苏州的	114	72		0	0	0	1	1
300011	林和靖	苏州的	64	200	种植大师	0	0	1	1	1
300012	周敦颐	苏州的	124	113		0	0	0	1	1
300013	庞安时	苏州的	106	111		0	0	0	1	1
300014	慕容复	苏州的	129	76		0	0	0	1	1
300015	邓百川	苏州的	132	70		0	0	0	1	1
300016	公冶乾	苏州的	133	70		0	0	0	1	1
300017	包不同	苏州的	115	71		0	0	0	1	1
300018	风波恶	苏州的	127	74		0	0	0	1	1
300019	阿碧	苏州的	128	74		0	0	0	1	1
300020	祝三念	苏州的	172	128		0	0	0	1	1
300021	王夫人	苏州的	94	177		0	0	0	1	1
300022	王珪	苏州的	264	126		0	0	0	1	1
300023	魏汉津	苏州的	94	206		0	0	0	1	1
300024	楚衍	苏州的	265	127		0	0	0	1	1
300025	文彦博	苏州的	168	168		0	0	0	1	1
300026	李乘风	苏州的	166	82		0	0	0	1	1
300027	朱丹臣	苏州的	160	72		0	0	0	1	1
300028	张小泉	苏州的	251	130		0	0	0	1	1
300029	左季高	苏州的	217	88		0	0	0	1	1
300030	孙子羽	苏州的	128	173		0	0	0	1	1
300031	胡繁	苏州的	106	118		0	0	0	1	1
300032	陆士铮	苏州的	234	78	苏州漕运使	0	0	1	1	1
300033	谢尚	苏州的	109	135		0	0	0	1	1
300034	花剑影	苏州的	251	108		0	0	0	1	1
300035	宋兵	苏州的	187	55		0	0	0	1	1
300036	张小河	苏州的	259	132	采矿大师	0	0	1	1	1
300037	颜查散	苏州的	96	86		0	0	0	1	1
300038	雨墨	苏州的	96	89		0	0	0	1	1
300039	云霏霏	苏州的	87	142		0	0	0	1	1
300040	薛烛	苏州的	251	151	铸造大师	0	0	1	1	1
300041	左无双	苏州的	217	81		0	0	0	1	1
300042	雪竹莲	苏州的	200	83		0	0	0	1	1
300043	张择端	苏州的	173	179		0	0	0	1	1
300044	包世荣	苏州的	190	168	酒店老板	0	0	1	1	1
300045	智化	苏州的	189	173	烹饪大师	0	0	1	1	1
300046	蒋平	苏州的	238	77	钓鱼大师	0	0	1	1	1
300047	柳金蟾	苏州的	123	112		0	0	0	1	1
300048	余化龙	苏州的	211	90	缝纫大师	0	0	1	1	1
300049	艾虎	苏州的	87	140		0	0	0	1	1
300050	郑天寿	苏州的	234	227		0	0	0	1	1
300051	魏真	苏州的	224	226		0	0	0	1	1
300052	潘浚	苏州的	268	213		0	0	0	1	1
300053	张树茂	苏州的	267	210		0	0	0	1	1
300054	王审芝	苏州的	106	109	采药大师	0	0	1	1	1
300055	范大成	苏州的	111	133		0	0	0	1	1
300056	曾三省	苏州的	109	130	工艺大师	0	0	1	1	1
300057	李乐施	苏州的	191	94	善恶值商店	0	0	1	1	1
